url_path,views_total,views_unique
/vmhomelab/printbuddy,111,44
/vmhomelab/printbuddy/issues,19,8
/vmhomelab/Printbuddy,16,5
/vmhomelab/printbuddy/releases/tag/v0.2.4.8,12,11
/vmhomelab/printbuddy/pulls,11,7
/vmhomelab/printbuddy/releases,7,6
/vmhomelab/printbuddy/tree/dev,7,2
/vmhomelab/printbuddy/issues/3,6,5
/vmhomelab/printbuddy/actions,4,3
/vmhomelab/printbuddy/issues/7,4,3
