url_path,views_total,views_unique
/vmhomelab/printbuddy,106,38
/vmhomelab/printbuddy/issues,21,9
/vmhomelab/Printbuddy,17,5
/vmhomelab/printbuddy/releases/tag/v0.2.4.8,12,11
/vmhomelab/printbuddy/pulls,11,7
/vmhomelab/printbuddy/releases,7,6
/vmhomelab/printbuddy/issues/3,6,5
/vmhomelab/printbuddy/tree/dev,6,2
/vmhomelab/printbuddy/blob/main/docs/screenshots/dashboard.png,4,4
/vmhomelab/printbuddy/actions,4,3
