time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-30 00:00:00+00:00,45,20,0,0
2026-05-31 00:00:00+00:00,2,2,0,0
2026-06-01 00:00:00+00:00,78,13,0,0
2026-06-02 00:00:00+00:00,51,11,2,1
2026-06-03 00:00:00+00:00,1,1,0,0
2026-06-04 00:00:00+00:00,1,1,0,0
2026-06-05 00:00:00+00:00,1,1,3,1
2026-06-06 00:00:00+00:00,693,82,13,2
2026-06-07 00:00:00+00:00,410,64,19,3
2026-06-08 00:00:00+00:00,664,76,34,3
2026-06-09 00:00:00+00:00,22,9,5,1
2026-06-10 00:00:00+00:00,2,2,9,1
2026-06-11 00:00:00+00:00,17,8,28,2
2026-06-12 00:00:00+00:00,40,10,12,3
